species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url,total_score,selection_status
Adelopsella bosnica,Adelopsella,Leiodidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_977014165.1,icAdeBosn.1,Chromosome,reference genome,860.51,2441452,50488338,571,31.0,yes,NCBI/RefSeq,NCBI,,PRJEB77392,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977014165.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977014165.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977014165.1.zip","datasets download genome accession GCA_977014165.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB77392,207.03191074610933,primary
Adinopsis sp. GC000173,Adinopsis,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_030264715.1,Caltech_Adi_1.0,Scaffold,,205.15,16056,16059,24720,31.5,check,,NCBI,,PRJNA764224,,,,,,,to_verify,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030264715.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030264715.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030264715.1.zip","datasets download genome accession GCA_030264715.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA764224,92.05718498103094,primary
Adranes taylori,Adranes,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_009867245.2,ASM986724v2,Scaffold,reference genome,887.79,7172,7622,325912,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA397423,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009867245.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_009867245.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_009867245.2.zip","datasets download genome accession GCA_009867245.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397423,128.82068944436148,primary
Aegialia arenaria,Aegialia,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_978045345.1,icAegAren1.hap1.1,Chromosome,reference genome,424.27,8448757,43928660,86,33.0,yes,NCBI/RefSeq,NCBI,,PRJEB106972,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_978045345.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_978045345.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_978045345.1.zip","datasets download genome accession GCA_978045345.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB106972,206.42747955746958,primary
Aenictocupidus jacobsonorum,Aenictocupidus,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_010014765.2,ASM1001476v2,Scaffold,reference genome,176.36,1398,1596,200887,45.0,yes,NCBI/RefSeq,NCBI,,PRJNA397425,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_010014765.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_010014765.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_010014765.2.zip","datasets download genome accession GCA_010014765.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397425,122.0303288701471,primary
Aethina tumida,Aethina,Nitidulidae,Cucujoidea,Polyphaga,Coleoptera,ingroup,GCF_024364675.1,icAetTumi1.1,Chromosome,reference genome,259.97,11742490,36783356,8,28.0,yes,NCBI/RefSeq,NCBI,,PRJNA825637,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_024364675.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_024364675.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_024364675.1.zip","datasets download genome accession GCF_024364675.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA825637,205.65651350399358,primary
Agelastica alni,Agelastica,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_950111635.2,icAgeAlni6.2,Chromosome,reference genome,692.27,4545743,66306276,133,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB61673,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_950111635.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_950111635.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_950111635.2.zip","datasets download genome accession GCA_950111635.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB61673,208.21554637049894,primary
Agonum fuliginosum,Agonum,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_947534325.1,icAgoFuli1.1,Chromosome,reference genome,695.89,12663309,36153338,93,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB58062,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_947534325.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_947534325.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_947534325.1.zip","datasets download genome accession GCA_947534325.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB58062,205.58148401438433,primary
Agonum gracile,Agonum,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_982290465.1,icAgoGrac1.hap1.1,Chromosome,reference genome,646.97,15338390,33389852,705,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB109968,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982290465.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_982290465.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_982290465.1.zip","datasets download genome accession GCA_982290465.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB109968,205.23614494055096,primary
Agonum viduum,Agonum,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_978021445.1,icAgoVidu2.1,Chromosome,reference genome,583.17,2822791,31947219,573,32.0,yes,NCBI/RefSeq,NCBI,,PRJEB106581,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_978021445.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_978021445.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_978021445.1.zip","datasets download genome accession GCA_978021445.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB106581,205.04433058878743,primary
Agrilus biguttatus,Agrilus,Buprestidae,Buprestoidea,Polyphaga,Coleoptera,ingroup,GCA_963921985.1,icAgrBigu1.1,Chromosome,reference genome,368.11,11522278,34530510,46,32.0,yes,NCBI/RefSeq,NCBI,,PRJEB71839,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963921985.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963921985.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963921985.1.zip","datasets download genome accession GCA_963921985.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB71839,205.38202992729708,primary
Agrilus cyanescens,Agrilus,Buprestidae,Buprestoidea,Polyphaga,Coleoptera,ingroup,GCA_947389935.1,icAgrCyan1.1,Chromosome,reference genome,292.34,5283000,29744825,10,34.0,yes,NCBI/RefSeq,NCBI,,PRJEB57759,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_947389935.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_947389935.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_947389935.1.zip","datasets download genome accession GCA_947389935.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB57759,204.73411418150616,primary
Agrilus mali,Agrilus,Buprestidae,Buprestoidea,Polyphaga,Coleoptera,ingroup,GCA_055682225.1,ASM5568222v1,Chromosome,reference genome,291.19,4341085,28461508,600,33.0,yes,NCBI/RefSeq,NCBI,,PRJNA1293793,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055682225.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_055682225.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_055682225.1.zip","datasets download genome accession GCA_055682225.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1293793,204.54257906947436,primary
Agrilus planipennis,Agrilus,Buprestidae,Buprestoidea,Polyphaga,Coleoptera,ingroup,GCF_000699045.2,Apla_2.0,Scaffold,reference genome,353.06,28329,1113421,23185,34.5,yes,NCBI/RefSeq,NCBI,,PRJNA230921,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000699045.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000699045.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_000699045.2.zip","datasets download genome accession GCF_000699045.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA230921,150.4665940818532,primary
Agriotes ferrugineipennis,Agriotes,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_044115295.2,icAgrFerr1_p1.2,Scaffold,reference genome,1230.58,20637005,122731983,52,34.5,yes,NCBI/RefSeq,NCBI,,PRJNA1137978,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044115295.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_044115295.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_044115295.2.zip","datasets download genome accession GCA_044115295.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1137978,170.8895775123914,primary
Agriotes lineatus,Agriotes,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_965788545.1,icAgrLine1.hap1.1,Chromosome,reference genome,2590.71,4416720,212198138,1394,37.0,yes,NCBI/RefSeq,NCBI,,PRJEB95121,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965788545.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965788545.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965788545.1.zip","datasets download genome accession GCA_965788545.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB95121,213.2674156872709,primary
Agriotes mancus,Agriotes,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_041228495.2,icAgrManc1_p1.2,Scaffold,reference genome,2455.02,15085314,187609735,71,36.0,yes,NCBI/RefSeq,NCBI,,PRJNA1137982,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041228495.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_041228495.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_041228495.2.zip","datasets download genome accession GCA_041228495.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1137982,172.73255370008337,primary
Agriotes obscurus,Agriotes,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_040955315.2,icAgrObsc1_p1.2,Scaffold,reference genome,2492.91,1433701,19135796,3390,37.0,yes,NCBI/RefSeq,NCBI,,PRJNA1117586,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040955315.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_040955315.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_040955315.2.zip","datasets download genome accession GCA_040955315.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1117586,162.81846532472062,primary
Agriotes pubescens,Agriotes,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_044115395.2,icAgrPube1_p1.2,Scaffold,reference genome,2132.22,206332,436499,8691,36.0,yes,NCBI/RefSeq,NCBI,,PRJNA1137974,,,,,,,published_open,,,conditional,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044115395.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_044115395.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_044115395.2.zip","datasets download genome accession GCA_044115395.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1137974,146.3998325309318,primary
Agriotes sputator,Agriotes,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_044115325.2,icAgrSput4_p1.2,Scaffold,reference genome,1922.88,16345600,1243888664,75,36.5,yes,NCBI/RefSeq,NCBI,,PRJNA1137986,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044115325.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_044115325.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_044115325.2.zip","datasets download genome accession GCA_044115325.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1137986,180.94781509957448,primary
Agrypnus murinus,Agrypnus,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_929113105.1,icAgrMuri1.1,Chromosome,reference genome,1578.51,4463000,177293933,161,33.0,yes,NCBI/RefSeq,NCBI,,PRJEB50666,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_929113105.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_929113105.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_929113105.1.zip","datasets download genome accession GCA_929113105.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB50666,212.48693874294074,primary
Alaus oculatus,Alaus,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_009852465.2,ASM985246v2,Scaffold,reference genome,7.31,828,828,8363,39.0,yes,NCBI/RefSeq,NCBI,,PRJNA578932,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009852465.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_009852465.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_009852465.2.zip","datasets download genome accession GCA_009852465.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA578932,119.18030336784881,primary
Aleochara bilineata,Aleochara,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_003054995.1,ASM305499v1,Scaffold,reference genome,85.9,12135,54149,33003,40.0,yes,NCBI/RefSeq,NCBI,,PRJNA378164,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003054995.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_003054995.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_003054995.1.zip","datasets download genome accession GCA_003054995.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA378164,137.33590440675243,primary
Aleochara curtula,Aleochara,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_963978815.1,icAleCurt1.1,Chromosome,reference genome,136.97,8903095,13180965,76,37.5,yes,NCBI/RefSeq,NCBI,,PRJEB73701,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963978815.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963978815.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963978815.1.zip","datasets download genome accession GCA_963978815.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB73701,201.19947206831085,primary
Aleochara sp. GC000083,Aleochara,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_030264555.1,Caltech_Ale_1.0,Scaffold,,152.72,27552,29507,11085,37.5,check,,NCBI,,PRJNA764224,,,,,,,to_verify,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030264555.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030264555.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030264555.1.zip","datasets download genome accession GCA_030264555.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA764224,94.69925056681387,primary
Altica lythri,Altica,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_964028335.1,icAltLyth1.1,Chromosome,reference genome,1003.51,2893756,77927963,1578,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB74861,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964028335.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964028335.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964028335.1.zip","datasets download genome accession GCA_964028335.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB74861,208.91693324135733,primary
Amara aenea,Amara,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_973350105.1,icAmaAene1.hap1.1,Chromosome,reference genome,880.37,6359709,46477551,884,30.5,yes,NCBI/RefSeq,NCBI,,PRJEB96435,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_973350105.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_973350105.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_973350105.1.zip","datasets download genome accession GCA_973350105.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB96435,206.67243236094689,primary
