species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url
Tribolium castaneum,Tribolium,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_031307605.1,icTriCast1.1,Chromosome,reference genome,241.85,16193484,20636470,148,31.5,yes,NCBI/RefSeq,NCBI,,PRJNA865805,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031307605.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_031307605.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_031307605.1.zip","datasets download genome accession GCA_031307605.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA865805
Tribolium castaneum,Tribolium,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCF_031307605.1,icTriCast1.1,Chromosome,reference genome,241.85,16193484,20636470,148,31.5,yes,NCBI/RefSeq,NCBI,,PRJNA865805,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_031307605.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_031307605.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_031307605.1.zip","datasets download genome accession GCF_031307605.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA865805
Harmonia axyridis,Harmonia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_914767665.1,icHarAxyr1.1,Chromosome,reference genome,425.52,22915403,63675256,13,35,yes,NCBI/RefSeq,NCBI,,PRJEB47373,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_914767665.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_914767665.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_914767665.1.zip","datasets download genome accession GCA_914767665.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB47373
Harmonia axyridis,Harmonia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCF_914767665.1,icHarAxyr1.1,Chromosome,reference genome,425.52,22915403,63675256,13,35,yes,NCBI/RefSeq,NCBI,,PRJEB47373,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_914767665.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_914767665.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_914767665.1.zip","datasets download genome accession GCF_914767665.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB47373
Tenebrio molitor,Tenebrio,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_963966145.1,icTenMoli1.1,Chromosome,reference genome,276.96,7033857,29772305,238,36.5,yes,NCBI/RefSeq,NCBI,,PRJEB72558,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963966145.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963966145.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963966145.1.zip","datasets download genome accession GCA_963966145.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72558
Tenebrio molitor,Tenebrio,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCF_963966145.1,icTenMoli1.1,Chromosome,reference genome,276.83,7033857,29772305,236,36.5,yes,NCBI/RefSeq,NCBI,,PRJEB72558,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_963966145.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_963966145.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_963966145.1.zip","datasets download genome accession GCF_963966145.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72558
Monochamus alternatus,Monochamus,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_037114965.1,ASM3711496v1,Chromosome,reference genome,789.5,55988924,86209243,16,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1084890,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037114965.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_037114965.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_037114965.1.zip","datasets download genome accession GCA_037114965.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1084890
Callosobruchus maculatus,Callosobruchus,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_040182625.1,Cmac_2024,Chromosome,reference genome,1222.63,1020411,117707481,487,38,yes,NCBI/RefSeq,NCBI,,PRJNA1048654,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040182625.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_040182625.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_040182625.1.zip","datasets download genome accession GCA_040182625.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1048654
Ips typographus,Ips,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_016097725.2,UJ_Ityp_2.0,Chromosome,reference genome,224.98,8272750,12144430,73,35,yes,NCBI/RefSeq,NCBI,,PRJNA671615,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_016097725.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_016097725.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_016097725.2.zip","datasets download genome accession GCA_016097725.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA671615
Onthophagus taurus,Onthophagus,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_036711975.1,IU_Otau_3.0,Chromosome,reference genome,290.86,33052070,33174080,33,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA966962,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036711975.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_036711975.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_036711975.1.zip","datasets download genome accession GCA_036711975.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA966962
Onthophagus taurus,Onthophagus,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCF_036711975.1,IU_Otau_3.0,Chromosome,reference genome,290.86,33052070,33174080,33,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA966962,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036711975.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_036711975.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_036711975.1.zip","datasets download genome accession GCF_036711975.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA966962
Trypoxylus dichotomus,Trypoxylus,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_023509865.1,ZAFU_TdicV1,Chromosome,reference genome,636.27,12989000,71035100,417,35,yes,NCBI/RefSeq,NCBI,,PRJNA688811,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023509865.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_023509865.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_023509865.1.zip","datasets download genome accession GCA_023509865.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA688811
Plagiodera versicolora,Plagiodera,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_037013635.1,ASM3701363v1,Chromosome,reference genome,233.27,10689844,13925967,32,35.5,yes,NCBI/RefSeq,NCBI,,PRJNA1045849,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037013635.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_037013635.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_037013635.1.zip","datasets download genome accession GCA_037013635.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1045849
Dendroctonus frontalis,Dendroctonus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_040113315.1,ASM4011331v1,Chromosome,reference genome,173.6,24829404,24829404,373,36.5,yes,NCBI/RefSeq,NCBI,,PRJNA1100959,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040113315.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_040113315.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_040113315.1.zip","datasets download genome accession GCA_040113315.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1100959
Monolepta hieroglyphica,Monolepta,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_045514875.1,ASM4551487v1,Chromosome,reference genome,2294.53,7255000,264114328,332,32,yes,NCBI/RefSeq,NCBI,,PRJNA1171132,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_045514875.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_045514875.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_045514875.1.zip","datasets download genome accession GCA_045514875.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1171132
Anthonomus grandis grandis,Anthonomus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_022605725.3,icAntGran1.3,Chromosome,reference genome,697.45,6865999,36454210,304,32,yes,NCBI/RefSeq,NCBI,,PRJNA767408,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022605725.3/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_022605725.3/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_022605725.3.zip","datasets download genome accession GCA_022605725.3 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA767408
Anthonomus grandis grandis,Anthonomus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCF_022605725.1,icAntGran1.3,Chromosome,reference genome,697.45,6865999,36454210,304,32,yes,NCBI/RefSeq,NCBI,,PRJNA767408,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_022605725.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_022605725.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_022605725.1.zip","datasets download genome accession GCF_022605725.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA767408
