organism,taxid,family,suborder,project,assembly_name,status,goat_sequencing_status,accession,wgs_accession,assembly_span_mb,contig_n50,assembly_level,goat_assembly_id,record_type,in_tob_inventory
Agonum viduum,795042,Carabidae,Adephaga,DToL,icAgoVidu2.1 alternate haplotype,alternate_haplotype,published,GCA_978021525.1,CDXDPR01,647.11,243144,Scaffold,GCA_978021525.1,assembly,yes
Abax parallelepipedus,102642,Carabidae,Adephaga,DToL,icAbaPara2.1 alternate haplotype,alternate_haplotype,published,GCA_964197635.1,CAXMWR01,511.22,99981,Scaffold,GCA_964197635.1,assembly,yes
Abscondita cerata,2740424,Lampyridae,Polyphaga,unknown,AcBM8_1.0,Contig,published,GCA_030710515.1,JALBCR01,967.16,325269,Contig,GCA_030710515.1,assembly,yes
Acanthoscelides obtectus,200917,Chrysomelidae,Polyphaga,unknown,AobtHiC_assembly,Scaffold,published,GCA_963669975.1,CAVLJG01,1105.07,772864,Scaffold,GCA_963669975.1,assembly,yes
Acanthoscelides obtectus,200917,Chrysomelidae,Polyphaga,unknown,Acanthoscelides obtectus PacBio Genome assembly,Contig,published,GCA_933228535.1,CAKOFQ01,2206.66,791033,Contig,GCA_933228535.1,assembly,yes
Cantharis decipiens,877885,Cantharidae,Polyphaga,DToL,icCanDeci3.1 alternate haplotype,alternate_haplotype,published,GCA_965642375.1,CBFFMF01,417.1,32718,Scaffold,GCA_965642375.1,assembly,yes
Cantharis flavilabris,877752,Cantharidae,Polyphaga,DToL,icCanFlav1.1 alternate haplotype,alternate_haplotype,published,GCA_949152385.1,CASCJS01,346.27,1075827,Contig,GCA_949152385.1,assembly,yes
Cantharis lateralis,877886,Cantharidae,Polyphaga,DToL,icCanLate1.1 alternate haplotype,alternate_haplotype,published,GCA_963170035.1,CAUJGM01,323.24,831000,Contig,GCA_963170035.1,assembly,yes
Cantharis nigra,1553174,Cantharidae,Polyphaga,DToL,icCanNigr2.1 alternate haplotype,alternate_haplotype,published,GCA_958510835.1,CAUEHL01,363.48,1356651,Contig,GCA_958510835.1,assembly,yes
Cantharis pallida,877887,Cantharidae,Polyphaga,DToL,icCanPall1.hap1.1,Chromosome,published,GCA_978407175.1,CDZIIB01,464.23,7578394,Chromosome,GCA_978407175.1,assembly,yes
Cantharis pallida,877887,Cantharidae,Polyphaga,DToL,icCanPall1.hap2.1,Scaffold,published,GCA_978407185.1,CDZIID01,387.78,7845000,Scaffold,GCA_978407185.1,assembly,yes
Cantharis rufa,350087,Cantharidae,Polyphaga,DToL,icCanRufa1.1 alternate haplotype,alternate_haplotype,published,GCA_947369215.1,CANBKQ01,339.66,968230,Scaffold,GCA_947369215.1,assembly,yes
Cantharis rustica,195172,Cantharidae,Polyphaga,DToL,icCanRust1.1 alternate haplotype,alternate_haplotype,published,GCA_911387815.1,CAJVQQ01,417.66,1241017,Scaffold,GCA_911387815.1,assembly,yes
Canthon chalcites,3456053,Scarabaeidae,Polyphaga,unknown,ASM5483238v1,Scaffold,published,GCA_054832385.1,JBQRUR01,555.82,2253537,Scaffold,GCA_054832385.1,assembly,yes
Carabus banonii,3023605,Carabidae,Adephaga,DToL,icCarBano7.2,Chromosome,published,GCA_964291765.2,CAXYTH02,207.77,7491500,Chromosome,GCA_964291765.2,assembly,yes
Carabus blaptoides fortunei,49296,Carabidae,Adephaga,unknown,Cbla_1.0,Scaffold,published,GCA_050785175.1,BSRF01,187.95,163054,Scaffold,GCA_050785175.1,assembly,yes
Carabus depressus,135145,Carabidae,Adephaga,unknown,ASM4812734v1,Contig,published,GCA_048127345.1,JBLKVO01,190.42,945386,Contig,GCA_048127345.1,assembly,yes
Carabus esakii,118795,Carabidae,Adephaga,unknown,Cesakii_1.0,Scaffold,published,GCA_054785535.1,BQUW01,193.16,41418,Scaffold,GCA_054785535.1,assembly,yes
Carabus nemoralis,49290,Carabidae,Adephaga,DToL,icCarNemo1.1 alternate haplotype,alternate_haplotype,published,GCA_977809175.1,CDWABU01,229.79,83246,Contig,GCA_977809175.1,assembly,yes
Carabus problematicus,49291,Carabidae,Adephaga,DToL,icCarProb1.1 alternate haplotype,alternate_haplotype,published,GCA_963422185.1,CAUJRW01,241.25,403213,Scaffold,GCA_963422185.1,assembly,yes
Carabus staehlini,209733,Carabidae,Adephaga,DToL,icCarStae2.1,Chromosome,published,GCA_977013385.1,CDRNGI01,203.42,6325665,Chromosome,GCA_977013385.1,assembly,yes
Cartodere bifasciata,1587142,Latridiidae,Polyphaga,DToL,icCarBifa1.1 alternate haplotype,alternate_haplotype,published,GCA_963920745.1,CAWUCW01,178.61,417192,Scaffold,GCA_963920745.1,assembly,yes
Catharsius molossus,206819,Scarabaeidae,Polyphaga,unknown,ASM5136248v1,Chromosome,published,GCA_051362485.1,JBOCED01,1536.64,54965564,Chromosome,GCA_051362485.1,assembly,yes
Cedrorum azoricus,3116505,Carabidae,Adephaga,DToL,icCedAzor3.1,Chromosome,published,GCA_965287095.1,CBDIYU01,567.88,10971072,Chromosome,GCA_965287095.1,assembly,yes
Cetonia aurata,290679,Scarabaeidae,Polyphaga,DToL,icCetAura1.1 alternate haplotype,alternate_haplotype,published,GCA_949128095.1,CASBRK01,407.31,765071,Contig,GCA_949128095.1,assembly,yes
Ceutorhynchus assimilis,467358,Curculionidae,Polyphaga,unknown,PGI_CEUTPL_v4,Chromosome,published,GCA_917834065.1,CAKJTU04,674.95,3538480,Chromosome,GCA_917834065.1,assembly,yes
Ceutorhynchus obstrictus,307131,Curculionidae,Polyphaga,DToL,icCeuObst1.1 alternate haplotype,alternate_haplotype,published,GCA_965178005.1,CBCXUI01,577.58,757707,Contig,GCA_965178005.1,assembly,yes
Bitoma crenata,346746,Zopheridae,Polyphaga,DToL,icBitCren1.2 alternate haplotype,alternate_haplotype,published,GCA_964656835.2,CAZZTE02,145.78,622504,Scaffold,GCA_964656835.2,assembly,yes
Blaps rhynchoptera,1379410,Tenebrionidae,Polyphaga,unknown,ASM4225770v1,Chromosome,published,GCA_042257705.1,JAYJMQ01,379.24,12028085,Chromosome,GCA_042257705.1,assembly,yes
Blemus discus,879042,Carabidae,Adephaga,unknown,HU_Bdis_1.0,Scaffold,published,GCA_050230235.1,JBNCAG01,473.59,6442,Scaffold,GCA_050230235.1,assembly,yes
Brachypterus glaber,442081,Kateretidae,Polyphaga,DToL,icBraGlab1.1 alternate haplotype,alternate_haplotype,published,GCA_958510775.1,CAUEHK01,593.1,67217,Scaffold,GCA_958510775.1,assembly,yes
Brassicogethes aeneus,1431903,Nitidulidae,Polyphaga,unknown,PGI_MELIAE_v1,Chromosome,published,GCA_921294245.1,,585.28,24416959,Chromosome,GCA_921294245.1,assembly,yes
Brontispa longissima,111217,Chrysomelidae,Polyphaga,unknown,ASM4058078v1,Chromosome,published,GCA_040580785.1,JBBPDZ01,574.56,5498661,Chromosome,GCA_040580785.1,assembly,yes
Bruchidius siliquastri,1649775,Chrysomelidae,Polyphaga,DToL,icBruSili1.1 alternate haplotype,alternate_haplotype,published,GCA_949316485.1,CASGFF01,258.82,871284,Contig,GCA_949316485.1,assembly,yes
Bruchidius varius,256828,Chrysomelidae,Polyphaga,DToL,icBruVari1.hap2.1,Scaffold,published,GCA_964204965.1,CAXNSC01,1143.24,3251757,Scaffold,GCA_964204965.1,assembly,yes
Caccobius schreberi,166341,Scarabaeidae,Polyphaga,unknown,ASM3355740v1,Contig,published,GCA_033557405.1,JAWQRQ01,167.36,560,Contig,GCA_033557405.1,assembly,yes
Calligrapha alni,359191,Chrysomelidae,Polyphaga,DToL,icCalAlnx1_p1.1,Contig,published,GCA_046129895.1,JBHEQF01,900.14,39003,Contig,GCA_046129895.1,assembly,yes
Calligrapha alni,359191,Chrysomelidae,Polyphaga,DToL,icCalAlnx1_a1.1,Contig,published,GCA_046129265.1,JBHEQG01,417.69,39435,Contig,GCA_046129265.1,assembly,yes
Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,unknown,Cmac_2024,Chromosome,published,GCA_040182625.1,JBDIZO01,1222.63,1020411,Chromosome,GCA_040182625.1,assembly,yes
Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,unknown,ASM90065972v1,Contig,published,GCA_900659725.1,CAACVG01,1007.82,212245,Contig,GCA_900659725.1,assembly,yes
Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,unknown,Genome Assembly of Callosobruchus Maculatus Hi-C,Scaffold,published,GCA_949361665.2,CASHZR02,1012.33,148360,Scaffold,GCA_949361665.2,assembly,yes
Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,unknown,YS_HiFi_assembly,Contig,published,GCA_951848785.1,CATOUR01,1246.71,9445077,Contig,GCA_951848785.1,assembly,yes
Calodromius spilotus,1553381,Carabidae,Adephaga,DToL,icCalSpil2.1 alternate haplotype,alternate_haplotype,published,GCA_977063465.1,CDRUHI01,1070.59,2820911,Scaffold,GCA_977063465.1,assembly,yes
Calosoma relictum,3480209,Carabidae,Adephaga,unknown,AUGM37_Crel_1.0,Contig,published,GCA_055275695.1,JBTJBP01,214.75,2433412,Contig,GCA_055275695.1,assembly,yes
Calosoma tepidum,3345128,Carabidae,Adephaga,unknown,CalTep_1.1,alternate_haplotype,published,GCA_044734075.1,JBIFNO01,256.96,1994820,Scaffold,GCA_044734075.1,assembly,yes
Calosoma wilkesii,3345127,Carabidae,Adephaga,unknown,CalWil_1.1,Scaffold,published,GCA_044734065.1,JBIFNN01,220.97,523703,Scaffold,GCA_044734065.1,assembly,yes
Calvia quattuordecimguttata,419956,Coccinellidae,Polyphaga,DToL,icCalQuat4.1 alternate haplotype,alternate_haplotype,published,GCA_964059575.1,CAXKXS01,1731.69,3599899,Scaffold,GCA_964059575.1,assembly,yes
Aspidapion aeneum,877730,Apionidae,Polyphaga,DToL,icAspAene1.1 alternate haplotype,alternate_haplotype,published,GCA_963576425.1,CAUYVW01,1267.91,492646,Scaffold,GCA_963576425.1,assembly,yes
Astagobius angustatus,1457099,Leiodidae,Polyphaga,DToL,icAstAngu6.1,Contig,published,GCA_965278915.1,CBDIHG01,278.6,203406,Contig,GCA_965278915.1,assembly,yes
Atheta pasadenae,866018,Staphylinidae,Polyphaga,unknown,Caltech_Apas_1.0,alternate_haplotype,published,GCA_030264155.1,JARJDS01,230.26,4822,Scaffold,GCA_030264155.1,assembly,yes
Attagenus pellio,41096,Dermestidae,Polyphaga,DToL,icAttPell1.hap2.1,Scaffold,published,GCA_978258505.1,CDYMLT01,316.81,29821268,Scaffold,GCA_978258505.1,assembly,yes
Aulacophora lewisii,226735,Chrysomelidae,Polyphaga,unknown,ASM5125104v1,Chromosome,published,GCA_051251045.1,JBJXHI01,1642.79,266548,Chromosome,GCA_051251045.1,assembly,yes
Barypeithes pellucidus,397350,Curculionidae,Polyphaga,DToL,icBarPell3.1 alternate haplotype,alternate_haplotype,published,GCA_963992275.1,CAXDTZ01,630.71,976313,Contig,GCA_963992275.1,assembly,yes
Bathyscidius tristiculus,3073148,Leiodidae,Polyphaga,DToL,icBatTris.1,Chromosome,published,GCA_979853965.1,CEHNPX01,488.12,1117445,Chromosome,GCA_979853965.1,assembly,yes
Batocera lineolata,583388,Cerambycidae,Polyphaga,unknown,ASM5281524v1,Chromosome,published,GCA_052815245.1,JBQSLT01,327.96,16240981,Chromosome,GCA_052815245.1,assembly,yes
Batocera rufomaculata,1840708,Cerambycidae,Polyphaga,unknown,Bru-kiz,Contig,published,GCA_050941775.1,JBKOFD01,338.08,37032474,Contig,GCA_050941775.1,assembly,yes
Berosus sp. SLE1611,3053244,Hydrophilidae,Polyphaga,unknown,ASM3355777v1,Contig,published,GCA_033557775.1,JAUIMV01,20.44,7036,Contig,GCA_033557775.1,assembly,yes
Betulapion simile,382944,Apionidae,Polyphaga,DToL,icBetSimi1.1 alternate haplotype,alternate_haplotype,published,GCA_966183735.1,CBIFTD01,1183.19,275992,Scaffold,GCA_966183735.1,assembly,yes
Copris fidius,1164999,Scarabaeidae,Polyphaga,unknown,ASM3219168v1,Contig,published,GCA_032191685.1,JAUIMS01,230.03,400,Contig,GCA_032191685.1,assembly,yes
Coproporus ventriculus,1542148,Staphylinidae,Polyphaga,unknown,Caltech_Cven_1.0,alternate_haplotype,published,GCA_027574865.2,JAODAH02,210.31,4235,Scaffold,GCA_027574865.2,assembly,yes
Coptodactyla brooksi,3050891,Scarabaeidae,Polyphaga,unknown,ASM3355767v1,Contig,published,GCA_033557675.1,JAWQRM01,18.23,24517,Contig,GCA_033557675.1,assembly,yes
Cosmopolites sordidus,206492,Curculionidae,Polyphaga,unknown,arthropoda_binned,Contig,published,GCA_031761425.1,JARFXV01,1068.52,706383,Contig,GCA_031761425.1,assembly,yes
Crepidodera aurata,200911,Chrysomelidae,Polyphaga,DToL,icCreAura1.1 alternate haplotype,alternate_haplotype,published,GCA_965645195.1,CBFFVE01,955.0,101419,Scaffold,GCA_965645195.1,assembly,yes
Crepidodera aurea,346762,Chrysomelidae,Polyphaga,DToL,icCreAure2.2 alternate haplotype,alternate_haplotype,published,GCA_949319345.2,CASGHO02,502.7,265917,Scaffold,GCA_949319345.2,assembly,yes
Crepidodera fulvicornis,1425550,Chrysomelidae,Polyphaga,DToL,icCreFulv2.1 alternate haplotype,alternate_haplotype,published,GCA_965615775.1,CBFEBE01,562.59,337879,Scaffold,GCA_965615775.1,assembly,yes
Crioceris asparagi,131627,Chrysomelidae,Polyphaga,DToL,icCriAspa1.1 alternate haplotype,alternate_haplotype,published,GCA_958501965.1,CAUEHD01,437.54,595382,Contig,GCA_958501965.1,assembly,yes
Crudosilis ruficollis,879036,Cantharidae,Polyphaga,DToL,icCruRufi1.1 alternate haplotype,alternate_haplotype,published,GCA_978018185.1,CDXDGS01,1358.39,1118927,Scaffold,GCA_978018185.1,assembly,yes
Cryptocephalus moraei,204949,Chrysomelidae,Polyphaga,DToL,icCryMora2.1 alternate haplotype,alternate_haplotype,published,GCA_946251935.1,CAMIUL01,432.23,669611,Contig,GCA_946251935.1,assembly,yes
Cryptocephalus primarius,1587206,Chrysomelidae,Polyphaga,DToL,icCryPrim1.1 alternate haplotype,alternate_haplotype,published,GCA_963576505.1,CAUYVU01,81.69,31778,Contig,GCA_963576505.1,assembly,yes
Cryptocephalus pusillus,877924,Chrysomelidae,Polyphaga,DToL,icCroPusi3.1 alternate haplotype,alternate_haplotype,published,GCA_965663595.1,CBFILY01,526.71,90346,Scaffold,GCA_965663595.1,assembly,yes
Cryptolaemus montrouzieri,559131,Coccinellidae,Polyphaga,unknown,ASM1338726v2,Scaffold,published,GCA_013387265.2,JABFTP02,988.02,10332729,Scaffold,GCA_013387265.2,assembly,yes
Cryptophagus acutangulus,1553241,Cryptophagidae,Polyphaga,DToL,icCryAcut1.1 alternate haplotype,alternate_haplotype,published,GCA_963556225.1,CAUVYT01,147.4,218088,Scaffold,GCA_963556225.1,assembly,yes
Ctenicera cuprea,1132042,Elateridae,Polyphaga,DToL,icCteCupr1.1 alternate haplotype,alternate_haplotype,published,GCA_958336375.1,CATVID01,596.22,462208,Contig,GCA_958336375.1,assembly,yes
Curculio caryae,13025,Curculionidae,Polyphaga,DToL,icCurCary2.1,Chromosome,published,GCA_051047995.1,JAKZMK01,2169.79,4816094,Chromosome,GCA_051047995.1,assembly,yes
Curculio caryae,13025,Curculionidae,Polyphaga,DToL,icCurCary2.1 alternate haplotype,alternate_haplotype,published,GCA_051048005.1,JAKZML01,2053.91,821239,Scaffold,GCA_051048005.1,assembly,yes
Curculio glandium,197013,Curculionidae,Polyphaga,DToL,icCurGlan1.1 alternate haplotype,alternate_haplotype,published,GCA_965648465.1,CBFGHS01,1112.8,337018,Scaffold,GCA_965648465.1,assembly,yes
Cylas formicarius,197179,Brentidae,Polyphaga,DToL,icCylForm1.1,Scaffold,published,GCA_029955315.1,JARGXY01,391.1,2934011,Scaffold,GCA_029955315.1,assembly,yes
Cylas formicarius,197179,Brentidae,Polyphaga,DToL,icCylForm1.1 alternate haplotype,alternate_haplotype,published,GCA_029955295.1,JARGXZ01,342.26,136754,Scaffold,GCA_029955295.1,assembly,yes
Cynaeus angustus,1553252,Tenebrionidae,Polyphaga,DToL,icCynAngu1.1,Chromosome,published,GCA_030157275.1,JARPUT01,236.99,11790235,Chromosome,GCA_030157275.1,assembly,yes
Cynaeus angustus,1553252,Tenebrionidae,Polyphaga,DToL,icCynAngu1.1 alternate haplotype,alternate_haplotype,published,GCA_030157255.1,JARPUU01,90.82,265060,Contig,GCA_030157255.1,assembly,yes
Cynegetis impunctata,1553253,Coccinellidae,Polyphaga,unknown,ASM3070488v1,Contig,published,GCA_030704885.1,JARQZK01,796.0,562463,Contig,GCA_030704885.1,assembly,yes
Cypha longicornis,347321,Staphylinidae,Polyphaga,unknown,Caltech_Clon_1.0,alternate_haplotype,published,GCA_030264615.1,JARJDY01,124.9,2227,Scaffold,GCA_030264615.1,assembly,yes
Dailognatha quadricollis,575809,Tenebrionidae,Polyphaga,DToL,icDaiQuad1.1,Chromosome,published,GCA_965183915.1,CBCYMO01,524.07,4327000,Chromosome,GCA_965183915.1,assembly,yes
Dailognatha quadricollis,575809,Tenebrionidae,Polyphaga,DToL,icDaiQuad1.1 alternate haplotype,alternate_haplotype,published,GCA_976941425.1,,320.41,12600000,Chromosome,GCA_976941425.1,assembly,yes
Dalopius marginatus,1553258,Elateridae,Polyphaga,DToL,icDalMarg2.1 alternate haplotype,alternate_haplotype,published,GCA_965112795.1,CBCOSV01,686.19,659420,Contig,GCA_965112795.1,assembly,yes
Dalotia coriaria,877792,Staphylinidae,Polyphaga,unknown,Caltech_Dcor_3.1,alternate_haplotype,published,GCA_025399875.3,JAODOX02,193.88,1365799,Scaffold,GCA_025399875.3,assembly,yes
Dascillus cervinus,285223,Dascillidae,Polyphaga,DToL,icDasCerv2.1 alternate haplotype,alternate_haplotype,published,GCA_949768705.1,CATKOW01,197.01,183088,Scaffold,GCA_949768705.1,assembly,yes
Dastarcus helophoroides,1169899,Bothrideridae,Polyphaga,unknown,ASM2858360v1,Chromosome,published,GCA_028583605.1,JAPAGP01,538.9,5669615,Chromosome,GCA_028583605.1,assembly,yes
Anthobium unicolor,347271,Staphylinidae,Polyphaga,DToL,icAntUnic1.1 alternate haplotype,alternate_haplotype,published,GCA_965663555.1,CBFILW01,352.14,140477,Chromosome,GCA_965663555.1,assembly,yes
Anthonomus grandis grandis,2921223,Curculionidae,Polyphaga,DToL,icAntGran1.3,Chromosome,published,GCA_022605725.3,JAKYJU02,697.45,6865999,Chromosome,GCA_022605725.3,assembly,yes
Anthonomus grandis grandis,2921223,Curculionidae,Polyphaga,DToL,icAntGran1.2 alternate haplotype,alternate_haplotype,published,GCA_022605985.2,JAKYJV02,371.8,120506,Scaffold,GCA_022605985.2,assembly,yes
Anthonomus grandis thurberiae,2921224,Curculionidae,Polyphaga,DToL,icAntGran3.1 alternate haplotype,alternate_haplotype,published,GCA_030068065.1,JASJMS01,619.64,970205,Scaffold,GCA_030068065.1,assembly,yes
Anthonomus grandis thurberiae,2921224,Curculionidae,Polyphaga,DToL,icAntGran3.1,Chromosome,published,GCA_030068095.1,JASJMR01,738.37,9069096,Chromosome,GCA_030068095.1,assembly,yes
Anthonomus rubi,201759,Curculionidae,Polyphaga,DToL,icAntRubi4_p1.2,Scaffold,published,GCA_050242925.2,JBMEYJ02,385.68,346941,Scaffold,GCA_050242925.2,assembly,yes
Anthonomus rubi,201759,Curculionidae,Polyphaga,DToL,icAntRubi4_a1.2,Scaffold,published,GCA_050242875.2,JBMEYK02,280.62,343352,Scaffold,GCA_050242875.2,assembly,yes
Anthroherpon ganglbaueri,1849190,Leiodidae,Polyphaga,DToL,icAntGang11.Hap1.1,Chromosome,published,GCA_978045665.1,CDXHDU01,245.27,954296,Chromosome,GCA_978045665.1,assembly,yes
Aphidecta obliterata,1501862,Coccinellidae,Polyphaga,DToL,icAphObli1.1 alternate haplotype,alternate_haplotype,published,GCA_963965955.1,CAWYPP01,292.9,530418,Contig,GCA_963965955.1,assembly,yes
Aphodius fimetarius,207148,Scarabaeidae,Polyphaga,DToL,icAphFime1.1 alternate haplotype,alternate_haplotype,published,GCA_964211875.1,CAXOST01,1158.84,387017,Scaffold,GCA_964211875.1,assembly,yes
Aphodius granarius,207157,Scarabaeidae,Polyphaga,DToL,icAphGran1.1 alternate haplotype,alternate_haplotype,published,GCA_963971265.1,CAXARL01,291.66,1086545,Scaffold,GCA_963971265.1,assembly,yes
Aphodius immundus,225233,Scarabaeidae,Polyphaga,unknown,ASM3219170v1,Contig,published,GCA_032191705.1,JAUIMU01,144.53,706,Contig,GCA_032191705.1,assembly,yes
Aphodius sticticus,207213,Scarabaeidae,Polyphaga,DToL,icAphStic4.1 alternate haplotype,alternate_haplotype,published,GCA_963966085.1,CAWYPX01,646.34,387746,Scaffold,GCA_963966085.1,assembly,yes
Apoderus coryli,201766,Attelabidae,Polyphaga,DToL,icApoCory1.2,Chromosome,published,GCA_911728435.2,CAJVRQ02,428.06,15031106,Chromosome,GCA_911728435.2,assembly,yes
Apoderus coryli,201766,Attelabidae,Polyphaga,DToL,icApoCory1.1 alternate haplotype,alternate_haplotype,published,GCA_911728465.1,CAJVRO01,392.67,1748940,Contig,GCA_911728465.1,assembly,yes
Aquatica leii,1421715,Lampyridae,Polyphaga,unknown,HAU_Aqlei_1.0,Chromosome,published,GCA_035610365.1,JARPUR01,1036.91,10806843,Chromosome,GCA_035610365.1,assembly,yes
Araecerus fasciculatus,251759,Anthribidae,Polyphaga,unknown,ASM5057809v1,Contig,published,GCA_050578095.1,JAWMAH01,474.89,207620,Contig,GCA_050578095.1,assembly,yes
Arhopalus rusticus,256647,Cerambycidae,Polyphaga,unknown,ASM4656315v1,Chromosome,published,GCA_046563155.1,JBIRAU01,1232.51,125011761,Chromosome,GCA_046563155.1,assembly,yes
Arhopalus unicolor,1191617,Cerambycidae,Polyphaga,unknown,ASM4551431v1,Chromosome,published,GCA_045514315.1,JBITPS01,1224.89,19298574,Chromosome,GCA_045514315.1,assembly,yes
Aromia moschata,1265417,Cerambycidae,Polyphaga,unknown,MPICE_AMO_1,Contig,published,GCA_029963805.1,JAPWTK01,687.74,1105269,Contig,GCA_029963805.1,assembly,yes
Asbolus verrucosus,1661398,Tenebrionidae,Polyphaga,unknown,BDFB 2.0 principal,Contig,published,GCA_047676225.1,JBANDU01,286.01,20175144,Contig,GCA_047676225.1,assembly,yes
Asbolus verrucosus,1661398,Tenebrionidae,Polyphaga,unknown,BDFB 2.0 alternate,alternate_haplotype,published,GCA_047676095.1,JBANDV01,215.01,4182277,Contig,GCA_047676095.1,assembly,yes
Agrilus biguttatus,324823,Buprestidae,Polyphaga,DToL,icAgrBigu1.1 alternate haplotype,alternate_haplotype,published,GCA_963921965.1,CAWUHL01,355.9,1923156,Contig,GCA_963921965.1,assembly,yes
Agrilus cyanescens,1586972,Buprestidae,Polyphaga,DToL,icAgrCyan1.1 alternate haplotype,alternate_haplotype,published,GCA_947389945.1,CANDXC01,260.94,540517,Contig,GCA_947389945.1,assembly,yes
Agrilus mali,1917227,Buprestidae,Polyphaga,unknown,ASM5568222v1,Chromosome,published,GCA_055682225.1,JBUXFL01,291.19,4341085,Chromosome,GCA_055682225.1,assembly,yes
Agrilus mali,1917227,Buprestidae,Polyphaga,unknown,ASM2937833v1,Chromosome,published,GCA_029378335.1,JAQSLM01,291.3,4341085,Chromosome,GCA_029378335.1,assembly,yes
Agriotes ferrugineipennis,2083513,Elateridae,Polyphaga,DToL,icAgrFerr1_p1.2,Scaffold,published,GCA_044115295.2,JBINJB02,1230.58,20637005,Scaffold,GCA_044115295.2,assembly,yes
Agriotes ferrugineipennis,2083513,Elateridae,Polyphaga,DToL,icAgrFerr1_a1.2,Scaffold,published,GCA_044115255.2,JBINJC02,1267.92,13177664,Scaffold,GCA_044115255.2,assembly,yes
Agriotes lineatus,292458,Elateridae,Polyphaga,DToL,icAgrLine4_a1.2,Scaffold,published,GCA_040955275.2,JBEBYX02,845.5,306820,Scaffold,GCA_040955275.2,assembly,yes
Agriotes lineatus,292458,Elateridae,Polyphaga,DToL,icAgrLine4_p1.2,Scaffold,published,GCA_040955365.2,JBEBYW02,2257.79,362001,Scaffold,GCA_040955365.2,assembly,yes
Agriotes lineatus,292458,Elateridae,Polyphaga,unknown,PGI_AGRIOTES_LIN_V1,Chromosome,published,GCA_940337035.1,CALNHX01,3159.86,201347,Chromosome,GCA_940337035.1,assembly,yes
Agriotes mancus,1132040,Elateridae,Polyphaga,DToL,icAgrManc1_p1.2,Scaffold,published,GCA_041228495.2,JBGEDG02,2455.02,15085314,Scaffold,GCA_041228495.2,assembly,yes
