accession,organism,family,suborder,length_bp,submission_date,in_tob_winners
OQ763221.1,Cylas formicarius,Brentidae,Polyphaga,17147,2023/05/10,yes
OQ763222.1,Cylas formicarius,Brentidae,Polyphaga,17147,2023/05/10,yes
OQ763223.1,Cylas formicarius,Brentidae,Polyphaga,17147,2023/05/10,yes
OQ763224.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763225.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763226.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763227.1,Cylas formicarius,Brentidae,Polyphaga,17145,2023/05/10,yes
OQ763228.1,Cylas formicarius,Brentidae,Polyphaga,17144,2023/05/10,yes
OQ763229.1,Cylas formicarius,Brentidae,Polyphaga,17141,2023/05/10,yes
OQ763230.1,Cylas formicarius,Brentidae,Polyphaga,17144,2023/05/10,yes
OQ763231.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763232.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763233.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763234.1,Cylas formicarius,Brentidae,Polyphaga,17147,2023/05/10,yes
OQ763235.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763236.1,Cylas formicarius,Brentidae,Polyphaga,17149,2023/05/10,yes
OQ763237.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763238.1,Cylas formicarius,Brentidae,Polyphaga,17145,2023/05/10,yes
OQ763239.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763240.1,Cylas formicarius,Brentidae,Polyphaga,17144,2023/05/10,yes
OQ763241.1,Cylas formicarius,Brentidae,Polyphaga,17149,2023/05/10,yes
OQ763242.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763243.1,Cylas formicarius,Brentidae,Polyphaga,17149,2023/05/10,yes
OQ763244.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763245.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763246.1,Cylas formicarius,Brentidae,Polyphaga,17144,2023/05/10,yes
OQ763247.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763248.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763249.1,Cylas formicarius,Brentidae,Polyphaga,17150,2023/05/10,yes
OQ763250.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763251.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
OQ763252.1,Cylas formicarius,Brentidae,Polyphaga,17144,2023/05/10,yes
OQ763253.1,Cylas formicarius,Brentidae,Polyphaga,17148,2023/05/10,yes
FJ613420.1,Acmaeodera sp. NCS-2009,Buprestidae,Polyphaga,16217,2009/11/16,no
NC_013580.1,Acmaeodera sp. NCS-2009,Buprestidae,Polyphaga,16217,2009/12/04,no
NC_071932.1,Agrilus adelphinus,Buprestidae,Polyphaga,15732,2023/03/09,no
OP401219.1,Agrilus adelphinus,Buprestidae,Polyphaga,15732,2023/02/11,no
NC_069980.1,Agrilus discalis,Buprestidae,Polyphaga,15784,2023/01/25,no
ON644870.1,Agrilus discalis,Buprestidae,Polyphaga,15784,2022/12/19,no
MN894890.1,Agrilus mali,Buprestidae,Polyphaga,16204,2020/05/19,yes
MW822596.1,Agrilus ornatus,Buprestidae,Polyphaga,15789,2022/06/13,no
NC_064400.1,Agrilus ornatus,Buprestidae,Polyphaga,15789,2022/06/23,no
KT363854.1,Agrilus planipennis,Buprestidae,Polyphaga,15942,2016/08/01,yes
NC_030758.1,Agrilus planipennis,Buprestidae,Polyphaga,15942,2016/08/16,yes
NC_064324.1,Agrilus sichuanus,Buprestidae,Polyphaga,16521,2022/06/23,no
OK189519.1,Agrilus sichuanus,Buprestidae,Polyphaga,16521,2022/06/06,no
NC_081980.1,Agrilus zanthoxylumi,Buprestidae,Polyphaga,16320,2023/09/16,no
OQ197496.1,Agrilus zanthoxylumi,Buprestidae,Polyphaga,16320,2023/07/19,no
MW929326.1,Anthaxia chinensis,Buprestidae,Polyphaga,15881,2021/07/04,no
NC_080316.1,Cantonius szechuanensis,Buprestidae,Polyphaga,15972,2023/06/26,no
OQ784264.1,Cantonius szechuanensis,Buprestidae,Polyphaga,15972,2023/05/17,no
PP211020.1,Catoxantha sp. l BO-2025,Buprestidae,Polyphaga,15594,2025/02/10,no
MZ750955.1,Chalcophora japonica,Buprestidae,Polyphaga,15759,2022/09/04,no
NC_062816.1,Chalcophora japonica,Buprestidae,Polyphaga,15759,2022/04/27,no
OM161962.1,Chalcophora japonica,Buprestidae,Polyphaga,15759,2022/03/30,no
OP388437.1,Chalcophora japonica,Buprestidae,Polyphaga,15759,2023/02/12,no
EU826485.1,Chrysochroa fulgidissima,Buprestidae,Polyphaga,15592,2009/06/03,no
NC_012765.1,Chrysochroa fulgidissima,Buprestidae,Polyphaga,15592,2009/06/04,no
PP211021.1,Chrysochroa sp. o BO-2025,Buprestidae,Polyphaga,15587,2025/02/10,no
NC_063146.1,Coomaniella copipes,Buprestidae,Polyphaga,16196,2022/05/07,no
OL694145.1,Coomaniella copipes,Buprestidae,Polyphaga,16196,2022/04/27,no
NC_063147.1,Coomaniella dentata,Buprestidae,Polyphaga,16179,2022/05/07,no
OL694144.1,Coomaniella dentata,Buprestidae,Polyphaga,16179,2022/04/27,no
MK913589.1,Coraebus cavifrons,Buprestidae,Polyphaga,15686,2021/04/07,no
NC_064325.1,Coraebus cloueti,Buprestidae,Polyphaga,15514,2022/06/23,no
OK189520.1,Coraebus cloueti,Buprestidae,Polyphaga,15514,2022/06/06,no
NC_064326.1,Coraebus diminutus,Buprestidae,Polyphaga,15499,2022/06/23,no
OK189521.1,Coraebus diminutus,Buprestidae,Polyphaga,15499,2022/06/06,no
NC_063127.1,Dicerca corrugata,Buprestidae,Polyphaga,16276,2022/05/07,no
OL753086.1,Dicerca corrugata,Buprestidae,Polyphaga,16276,2022/04/27,no
NC_067866.1,Endelus continentalis,Buprestidae,Polyphaga,16246,2022/11/12,no
OL702762.1,Endelus continentalis,Buprestidae,Polyphaga,16246,2022/10/12,no
OQ784266.1,Habroloma sp.,Buprestidae,Polyphaga,16273,2023/05/17,no
NC_071967.1,Julodis variolaris,Buprestidae,Polyphaga,16227,2023/03/09,no
OP390084.1,Julodis variolaris,Buprestidae,Polyphaga,16227,2023/02/12,no
PV330528.1,Lamprodila cupreosplendens,Buprestidae,Polyphaga,16222,2025/03/23,no
MW287594.1,Melanophila acuminata,Buprestidae,Polyphaga,15853,2021/01/31,no
NC_057197.1,Melanophila acuminata,Buprestidae,Polyphaga,15853,2021/08/31,no
NC_064327.1,Meliboeus sinae,Buprestidae,Polyphaga,16108,2022/06/23,no
OK189522.1,Meliboeus sinae,Buprestidae,Polyphaga,16108,2022/06/06,no
PP133641.1,Nipponobuprestis guangxiensis,Buprestidae,Polyphaga,15775,2025/02/10,no
NC_071966.1,Ptosima chinensis,Buprestidae,Polyphaga,16115,2023/03/09,no
OP388449.1,Ptosima chinensis,Buprestidae,Polyphaga,16115,2023/02/12,no
NC_064328.1,Sambus femoralis,Buprestidae,Polyphaga,15367,2022/06/23,no
OK349489.1,Sambus femoralis,Buprestidae,Polyphaga,15367,2022/06/06,no
NC_080317.1,Sambus kanssuensis,Buprestidae,Polyphaga,15411,2023/06/26,yes
OQ784265.1,Sambus kanssuensis,Buprestidae,Polyphaga,15411,2023/05/17,yes
MH638286.1,Trachys auricollis,Buprestidae,Polyphaga,16429,2020/02/08,no
NC_046045.1,Trachys auricollis,Buprestidae,Polyphaga,16429,2020/03/07,no
MN178497.1,Trachys variolaris,Buprestidae,Polyphaga,16771,2021/04/07,no
KX035134.1,Byturus ochraceus,Byturidae,Polyphaga,15143,2017/10/31,no
NC_036267.1,Byturus ochraceus,Byturidae,Polyphaga,15143,2017/11/16,no
KX035160.1,Simianus niponicus,Callirhipidae,Polyphaga,16107,2017/10/31,no
NC_036279.1,Simianus niponicus,Callirhipidae,Polyphaga,16107,2017/11/16,no
OM021995.1,Amphimorphus semifumatus,Cantharidae,Polyphaga,16595,2024/09/12,no
OQ221851.1,Asiopodabrus sp. 'satoi',Cantharidae,Polyphaga,18174,2024/01/15,no
NC_086602.1,Cantharis jindrai,Cantharidae,Polyphaga,16371,2024/03/05,no
OQ221852.1,Cantharis jindrai,Cantharidae,Polyphaga,16371,2024/01/15,no
OM021989.1,Cephalomalthinus aff. bidifformis,Cantharidae,Polyphaga,17760,2024/09/12,no
OM021992.1,Cephalomalthinus guizhouensis,Cantharidae,Polyphaga,17148,2024/09/12,no
NC_086617.1,Cephalomalthinus imparicornis,Cantharidae,Polyphaga,16147,2024/03/05,no
OQ221871.1,Cephalomalthinus imparicornis,Cantharidae,Polyphaga,16147,2024/01/15,no
OM021993.1,Cephalomalthinus laticollis,Cantharidae,Polyphaga,16861,2024/09/12,no
OM021990.1,Cephalomalthinus sp. 'chaoi',Cantharidae,Polyphaga,16218,2024/09/12,no
OM021991.1,Cephalomalthinus sp. 'cicaratatus',Cantharidae,Polyphaga,17113,2024/09/12,no
FJ613418.1,Chauliognathus opacus,Cantharidae,Polyphaga,14893,2009/11/16,no
NC_013576.1,Chauliognathus opacus,Cantharidae,Polyphaga,14893,2009/12/04,no
NC_086616.1,Cyrebion gracilicornis,Cantharidae,Polyphaga,17179,2024/03/05,no
OQ221870.1,Cyrebion gracilicornis,Cantharidae,Polyphaga,17179,2024/01/15,no
NC_086603.1,Cyrebion subrufolineatus,Cantharidae,Polyphaga,16590,2024/03/05,no
OQ221853.1,Cyrebion subrufolineatus,Cantharidae,Polyphaga,16590,2024/01/15,no
NC_086604.1,Falsopodabrus tridentatus,Cantharidae,Polyphaga,16853,2024/03/05,no
OQ221854.1,Falsopodabrus tridentatus,Cantharidae,Polyphaga,16853,2024/01/15,no
NC_086607.1,Habronychus chaoi,Cantharidae,Polyphaga,16210,2024/03/05,no
OQ221859.1,Habronychus chaoi,Cantharidae,Polyphaga,16210,2024/01/15,no
OQ221855.1,Habronychus sp. 1 XYG-2024a,Cantharidae,Polyphaga,17289,2024/01/15,no
MN255352.1,Lycocerus asperipennis,Cantharidae,Polyphaga,16162,2021/02/03,no
NC_056144.1,Lycocerus asperipennis,Cantharidae,Polyphaga,16162,2021/06/19,no
NC_086605.1,Lycocerus curvatus,Cantharidae,Polyphaga,16420,2024/03/05,no
OQ221857.1,Lycocerus curvatus,Cantharidae,Polyphaga,16420,2024/01/15,no
NC_086606.1,Lycocerus hubeiensis,Cantharidae,Polyphaga,16231,2024/03/05,no
OQ221858.1,Lycocerus hubeiensis,Cantharidae,Polyphaga,16231,2024/01/15,no
NC_086608.1,Micropodabrus oudai,Cantharidae,Polyphaga,16662,2024/03/05,no
OQ221860.1,Micropodabrus oudai,Cantharidae,Polyphaga,16662,2024/01/15,no
NC_086609.1,Podabrus annulatus,Cantharidae,Polyphaga,16619,2024/03/05,no
OQ221861.1,Podabrus annulatus,Cantharidae,Polyphaga,16619,2024/01/15,no
NC_086618.1,Prothemus sanguinosus,Cantharidae,Polyphaga,16985,2024/03/05,no
OQ221872.1,Prothemus sanguinosus,Cantharidae,Polyphaga,16985,2024/01/15,no
NC_086610.1,Prothemus semimetallicus,Cantharidae,Polyphaga,18116,2024/03/05,no
OQ221862.1,Prothemus semimetallicus,Cantharidae,Polyphaga,18116,2024/01/15,no
MZ532557.1,Rhagonycha nigroimpressa,Cantharidae,Polyphaga,16261,2023/02/15,no
NC_072136.1,Rhagonycha nigroimpressa,Cantharidae,Polyphaga,16261,2023/03/15,no
OQ221863.1,Rhagonycha nigroimpressa,Cantharidae,Polyphaga,16035,2024/01/15,no
MZ488943.1,Rhagonycha satoi,Cantharidae,Polyphaga,17621,2023/02/15,no
NC_072139.1,Rhagonycha satoi,Cantharidae,Polyphaga,17621,2023/03/15,no
MZ532558.1,Rhagonycha tibetana,Cantharidae,Polyphaga,16159,2023/02/15,no
NC_072137.1,Rhagonycha tibetana,Cantharidae,Polyphaga,16159,2023/03/15,no
MZ532559.1,Rhagonycha tryznai,Cantharidae,Polyphaga,16020,2023/02/15,no
NC_072138.1,Rhagonycha tryznai,Cantharidae,Polyphaga,16020,2023/03/15,no
NC_086611.1,Stenothemus fukienensis,Cantharidae,Polyphaga,16532,2024/03/05,no
OQ221864.1,Stenothemus fukienensis,Cantharidae,Polyphaga,16532,2024/01/15,no
OQ221873.1,Stenothemus sp.,Cantharidae,Polyphaga,16607,2024/01/15,no
NC_086612.1,Taiwanocantharis parasatoi,Cantharidae,Polyphaga,17587,2024/03/05,no
OQ221865.1,Taiwanocantharis parasatoi,Cantharidae,Polyphaga,17587,2024/01/15,no
NC_086613.1,Themus coelestis,Cantharidae,Polyphaga,17736,2024/03/05,no
OQ221866.1,Themus coelestis,Cantharidae,Polyphaga,17736,2024/01/15,no
NC_077594.1,Themus foveicollis,Cantharidae,Polyphaga,16469,2023/06/15,no
OQ621596.1,Themus foveicollis,Cantharidae,Polyphaga,16469,2023/04/17,no
MT554381.1,Themus impressipennis,Cantharidae,Polyphaga,16664,2024/05/01,no
NC_086615.1,Themus luteipes,Cantharidae,Polyphaga,16812,2024/03/05,no
OQ221869.1,Themus luteipes,Cantharidae,Polyphaga,16812,2024/01/15,no
NC_073011.1,Themus regalis,Cantharidae,Polyphaga,16574,2023/04/03,no
OQ397550.1,Themus regalis,Cantharidae,Polyphaga,16574,2023/03/22,no
OQ221856.1,Themus sp. 'bimaculicollis',Cantharidae,Polyphaga,16757,2024/01/15,no
OQ221867.1,Themus sp. 'cayipennis',Cantharidae,Polyphaga,16773,2024/01/15,no
NC_086614.1,Themus stigmaticus,Cantharidae,Polyphaga,16970,2024/03/05,no
OQ221868.1,Themus stigmaticus,Cantharidae,Polyphaga,16970,2024/01/15,no
MT554382.1,Trypherus sp.,Cantharidae,Polyphaga,16184,2024/05/01,no
KT876877.1,Abax parallelepipedus,Carabidae,Adephaga,17701,2016/06/20,yes
MN122836.1,Abax parallelepipedus,Carabidae,Adephaga,17699,2019/09/02,yes
NC_030592.1,Abax parallelepipedus,Carabidae,Adephaga,17701,2016/07/12,yes
MG253029.1,Abroscelis anchoralis,Carabidae,Adephaga,16388,2018/07/04,no
NC_038191.1,Abroscelis anchoralis,Carabidae,Adephaga,16388,2018/08/03,no
KX035135.1,Amara communis,Carabidae,Adephaga,15745,2017/10/31,no
NC_036268.1,Amara communis,Carabidae,Adephaga,15745,2017/11/16,no
NC_067049.1,Amara ovata,Carabidae,Adephaga,15334,2022/10/09,yes
OP242170.1,Amara ovata,Carabidae,Adephaga,15334,2022/09/27,yes
NC_086719.1,Bembidion laterale,Carabidae,Adephaga,15990,2024/03/05,no
PP135499.1,Bembidion laterale,Carabidae,Adephaga,15990,2024/01/27,no
PZ095926.1,Bembidion minimum,Carabidae,Adephaga,16802,2026/03/08,no
PZ095927.1,Bembidion minimum,Carabidae,Adephaga,16806,2026/03/08,no
KX087243.1,Blethisa multipunctata,Carabidae,Adephaga,16332,2017/10/13,no
NC_068073.1,Calomera brevipilosa,Carabidae,Adephaga,16840,2022/11/12,no
OP279447.1,Calomera brevipilosa,Carabidae,Adephaga,16840,2022/10/20,no
GU176340.1,Calosoma sp. BYU-CO241,Carabidae,Adephaga,16462,2010/07/12,no
NC_018339.1,Calosoma sp. BYU-CO241,Carabidae,Adephaga,16462,2012/08/10,no
KT696200.1,Carabidae sp. BMNH 1274270,Carabidae,Adephaga,16723,2016/02/29,no
PV339714.1,Carabus brandti,Carabidae,Adephaga,16796,2025/04/14,no
PX606624.1,Carabus brandti,Carabidae,Adephaga,16795,2026/01/19,no
MG253028.1,Carabus changeonleei,Carabidae,Adephaga,16831,2020/02/12,no
NC_046469.1,Carabus changeonleei,Carabidae,Adephaga,16831,2020/03/26,no
PV288324.1,Carabus davidis,Carabidae,Adephaga,16624,2025/04/08,no
MN122870.1,Carabus granulatus,Carabidae,Adephaga,16918,2019/09/02,no
NC_044759.1,Carabus granulatus,Carabidae,Adephaga,16918,2019/09/21,no
KY992943.1,Carabus lafossei,Carabidae,Adephaga,16793,2017/12/06,no
NC_036507.1,Carabus lafossei,Carabidae,Adephaga,16793,2017/12/18,no
OQ621646.1,Carabus leechi yooni,Carabidae,Adephaga,16825,2023/10/08,no
GQ344500.1,Carabus mirabilissimus mirabilissimus,Carabidae,Adephaga,16823,2011/12/19,no
NC_016469.1,Carabus mirabilissimus mirabilissimus,Carabidae,Adephaga,16823,2011/12/20,no
MN480425.1,Carabus smaragdinus,Carabidae,Adephaga,16737,2019/12/08,no
OP161481.1,Carabus sp.,Carabidae,Adephaga,16546,2022/08/28,no
PX606626.1,Cephalosdrophus marinae,Carabidae,Adephaga,16552,2026/01/19,no
MT554376.1,Chlaenius bioculatus,Carabidae,Adephaga,17053,2024/05/01,no
PX578919.1,Chlaenius circumdatus,Carabidae,Adephaga,16669,2025/11/26,no
PV699631.1,Chlaenius costiger,Carabidae,Adephaga,16347,2026/01/20,no
NC_086655.1,Chlaenius naeviger,Carabidae,Adephaga,16594,2024/03/05,no
OR771712.1,Chlaenius naeviger,Carabidae,Adephaga,16594,2024/01/22,no
OR536810.1,Chlaenius rufifemoratus bimaculatus,Carabidae,Adephaga,16419,2023/10/16,no
PX240909.1,Cicindela aurulenta,Carabidae,Adephaga,16388,2025/09/02,no
PV699634.1,Cicindela chinensis,Carabidae,Adephaga,17375,2026/01/20,no
MW442537.1,Cicindela puritana,Carabidae,Adephaga,15676,2021/11/29,no
MT554379.1,Cicindela setosomalaris,Carabidae,Adephaga,17378,2024/05/01,no
PV699633.1,Cicindela sp.,Carabidae,Adephaga,16424,2026/01/20,no
PV699632.1,Cicindela transbaicalica,Carabidae,Adephaga,16550,2026/01/20,no
PX574207.1,Cicindela transbaicalica,Carabidae,Adephaga,16505,2025/11/25,no
PV699628.1,Cicindelinae sp.,Carabidae,Adephaga,17901,2026/01/20,no
PX574208.1,Cylindera gracilis,Carabidae,Adephaga,16130,2025/11/25,no
PZ095925.1,Dicheirotrichus gustavii,Carabidae,Adephaga,17398,2026/03/08,no
PZ095928.1,Dicheirotrichus gustavii,Carabidae,Adephaga,16647,2026/03/08,no
PZ095929.1,Dicheirotrichus gustavii,Carabidae,Adephaga,16272,2026/03/08,no
PZ095933.1,Dicheirotrichus gustavii,Carabidae,Adephaga,16270,2026/03/08,no
MN995217.1,Diplocheila zealandica,Carabidae,Adephaga,16190,2020/05/19,no
NC_067050.1,Diplocheila zeelandica,Carabidae,Adephaga,16190,2022/10/09,no
OP250807.1,Diplocheila zeelandica,Carabidae,Adephaga,16190,2022/09/27,no
PQ647950.1,Dolichus halensis,Carabidae,Adephaga,16278,2025/01/11,no
NC_072157.1,Dyscolus arauzae,Carabidae,Adephaga,16546,2023/03/15,no
OP615221.1,Dyscolus arauzae,Carabidae,Adephaga,16546,2023/02/15,no
NC_072158.1,Dyscolus diopsis,Carabidae,Adephaga,17474,2023/03/15,no
OP615222.1,Dyscolus diopsis,Carabidae,Adephaga,17474,2023/02/15,no
OP615229.1,Dyscolus diopsis,Carabidae,Adephaga,16575,2023/02/15,no
OP615231.1,Dyscolus diopsis,Carabidae,Adephaga,16573,2023/02/15,no
OP615238.1,Dyscolus diopsis,Carabidae,Adephaga,16573,2023/02/15,no
OP615240.1,Dyscolus diopsis,Carabidae,Adephaga,16574,2023/02/15,no
OP615241.1,Dyscolus diopsis,Carabidae,Adephaga,16575,2023/02/15,no
OP615246.1,Dyscolus diopsis,Carabidae,Adephaga,16573,2023/02/15,no
OP615249.1,Dyscolus diopsis,Carabidae,Adephaga,16573,2023/02/15,no
NC_072162.1,Dyscolus funereus,Carabidae,Adephaga,17463,2023/03/15,no
OP615242.1,Dyscolus funereus,Carabidae,Adephaga,17463,2023/02/15,no
NC_072160.1,Dyscolus fusipalpis,Carabidae,Adephaga,16572,2023/03/15,no
OP615234.1,Dyscolus fusipalpis,Carabidae,Adephaga,16572,2023/02/15,no
OP615244.1,Dyscolus fusipalpis,Carabidae,Adephaga,16573,2023/02/15,no
NC_072164.1,Dyscolus irriguus,Carabidae,Adephaga,16563,2023/03/15,no
OP615252.1,Dyscolus irriguus,Carabidae,Adephaga,16563,2023/02/15,no
NC_072156.1,Dyscolus lucifuga,Carabidae,Adephaga,16578,2023/03/15,no
OP615220.1,Dyscolus lucifuga,Carabidae,Adephaga,16578,2023/02/15,no
OP615228.1,Dyscolus lucifuga,Carabidae,Adephaga,16571,2023/02/15,no
NC_072163.1,Dyscolus montivagus,Carabidae,Adephaga,16571,2023/03/15,no
OP615245.1,Dyscolus montivagus,Carabidae,Adephaga,16571,2023/02/15,no
NC_072155.1,Dyscolus oopteroides,Carabidae,Adephaga,16581,2023/03/15,no
OP615219.1,Dyscolus oopteroides,Carabidae,Adephaga,16581,2023/02/15,no
OP615225.1,Dyscolus oopteroides,Carabidae,Adephaga,16576,2023/02/15,no
OP615230.1,Dyscolus oopteroides,Carabidae,Adephaga,16578,2023/02/15,no
OP615233.1,Dyscolus oopteroides,Carabidae,Adephaga,16584,2023/02/15,no
OP615239.1,Dyscolus oopteroides,Carabidae,Adephaga,16563,2023/02/15,no
OP615247.1,Dyscolus oopteroides,Carabidae,Adephaga,16502,2023/02/15,no
OP615250.1,Dyscolus oopteroides,Carabidae,Adephaga,16573,2023/02/15,no
NC_072154.1,Dyscolus oreas,Carabidae,Adephaga,16572,2023/03/15,no
OP615217.1,Dyscolus oreas,Carabidae,Adephaga,16572,2023/02/15,no
OP615218.1,Dyscolus oreas,Carabidae,Adephaga,16582,2023/02/15,no
NC_072159.1,Dyscolus orthomus,Carabidae,Adephaga,17084,2023/03/15,no
OP615223.1,Dyscolus orthomus,Carabidae,Adephaga,17084,2023/02/15,no
OP615226.1,Dyscolus orthomus,Carabidae,Adephaga,17160,2023/02/15,no
OP615227.1,Dyscolus orthomus,Carabidae,Adephaga,16924,2023/02/15,no
OP615237.1,Dyscolus orthomus,Carabidae,Adephaga,16812,2023/02/15,no
OP615243.1,Dyscolus orthomus,Carabidae,Adephaga,17065,2023/02/15,no
OP615248.1,Dyscolus orthomus,Carabidae,Adephaga,17160,2023/02/15,no
NC_072161.1,Dyscolus pollens,Carabidae,Adephaga,16566,2023/03/15,no
OP615236.1,Dyscolus pollens,Carabidae,Adephaga,16566,2023/02/15,no
NC_072153.1,Dyscolus rotundiceps,Carabidae,Adephaga,16573,2023/03/15,no
OP615216.1,Dyscolus rotundiceps,Carabidae,Adephaga,16573,2023/02/15,no
OP615224.1,Dyscolus rotundiceps,Carabidae,Adephaga,16575,2023/02/15,no
OP615232.1,Dyscolus rotundiceps,Carabidae,Adephaga,16574,2023/02/15,no
OP615235.1,Dyscolus rotundiceps,Carabidae,Adephaga,16577,2023/02/15,no
OP615251.1,Dyscolus rotundiceps,Carabidae,Adephaga,16574,2023/02/15,no
KX087286.1,Elaphrus cupreus,Carabidae,Adephaga,16317,2017/10/13,no
PV699629.1,Elaphrus riparius,Carabidae,Adephaga,17063,2026/01/20,no
NC_066084.1,Galerita orientalis,Carabidae,Adephaga,16137,2022/09/13,no
ON920164.1,Galerita orientalis,Carabidae,Adephaga,16137,2022/08/30,no
MW074920.1,Habroscelimorpha dorsalis dorsalis,Carabidae,Adephaga,16404,2021/11/29,no
MW113736.1,Habroscelimorpha dorsalis media,Carabidae,Adephaga,16404,2021/11/29,no
MW450885.1,Habroscelimorpha dorsalis saulcyi,Carabidae,Adephaga,16409,2021/11/29,no
MW450884.1,Habroscelimorpha dorsalis venusta,Carabidae,Adephaga,16409,2021/11/29,no
NC_066079.1,Harpalus anxius,Carabidae,Adephaga,16429,2022/09/13,yes
NC_066080.1,Harpalus griseus,Carabidae,Adephaga,16972,2022/09/13,no
OP133272.1,Harpalus griseus,Carabidae,Adephaga,16972,2022/08/28,no
PV167288.1,Harpalus hauserianus,Carabidae,Adephaga,16983,2025/12/26,no
PV167289.1,Harpalus indicus,Carabidae,Adephaga,16612,2025/12/26,no
MN245975.1,Harpalus pensylvanicus,Carabidae,Adephaga,16434,2020/03/30,no
NC_046953.1,Harpalus pensylvanicus,Carabidae,Adephaga,16434,2020/04/10,no
PV167292.1,Harpalus pseudotinctulus,Carabidae,Adephaga,16266,2025/12/26,no
MN310888.1,Harpalus sinicus,Carabidae,Adephaga,16521,2019/10/01,no
NC_045094.1,Harpalus sinicus,Carabidae,Adephaga,16521,2019/10/29,no
PV167290.1,Harpalus sinicus,Carabidae,Adephaga,16573,2025/12/26,no
ON929899.1,Harpalus sp.,Carabidae,Adephaga,16429,2022/08/28,no
OP161482.1,Harpalus sp.,Carabidae,Adephaga,16027,2022/08/28,no
PV167293.1,Harpalus tinctulus,Carabidae,Adephaga,16405,2025/12/26,no
PV167291.1,Harpalus tridens,Carabidae,Adephaga,16066,2025/12/26,no
MF497821.1,Manticora tibialis,Carabidae,Adephaga,16439,2017/07/30,no
