accession,organism,taxid,family,suborder,assembly_level,contig_N50,scaffold_N50,total_length_mb,submission_date,submitter,in_scarab_catalog,tob_score,tob_recommendation
GCA_035321685.1,Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,Chromosome,10689844,13925967,233.27,2024-01-11,Hubei University,no,A,include
GCA_982375295.1,Lathrobium fulvipenne,878051,Staphylinidae,Polyphaga,Chromosome,9753159,47176579,575.84,2026-04-05,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965643715.1,Hypera rumicis,346786,Curculionidae,Polyphaga,Chromosome,9598395,206056481,1709.03,2025-07-19,WELLCOME SANGER INSTITUTE,no,A,include
GCA_978123715.1,Amara familiaris,1553055,Carabidae,Adephaga,Chromosome,9189600,53763055,857.12,2026-03-01,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965654235.1,Laccobius striatulus,446446,Hydrophilidae,Polyphaga,Chromosome,8827139,127081533,1048.64,2025-08-03,WELLCOME SANGER INSTITUTE,no,A,include
GCA_964213965.2,Arhopalus rusticus,256647,Cerambycidae,Polyphaga,Chromosome,8726949,159240323,1275.13,2025-11-19,WELLCOME SANGER INSTITUTE,no,A,include
GCA_964291195.1,Arhopalus rusticus,256647,Cerambycidae,Polyphaga,Chromosome,8726949,159240323,1275.13,2024-10-29,WELLCOME SANGER INSTITUTE,no,A,include
GCA_964213965.1,Arhopalus rusticus,256647,Cerambycidae,Polyphaga,Chromosome,8690151,159240323,1275.13,2024-08-23,WELLCOME SANGER INSTITUTE,no,A,include
GCA_976954485.1,Ips sexdentatus,55985,Curculionidae,Polyphaga,Chromosome,8625464,25174074,264.12,2025-11-25,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965194665.1,Biphyllus lunatus,197003,Biphyllidae,Polyphaga,Chromosome,8572763,26848231,417.61,2025-03-10,WELLCOME SANGER INSTITUTE,no,A,include
GCA_917563875.2,Diabrotica virgifera,50390,Chrysomelidae,Polyphaga,Chromosome,7930419,264456228,2533.4,2022-08-04,ROTHAMSTED RESEARCH,no,A,include
GCA_917563875.1,Diabrotica virgifera,50390,Chrysomelidae,Polyphaga,Chromosome,7930419,264456228,2534.26,2022-06-30,ROTHAMSTED RESEARCH,no,A,include
GCA_039655025.1,Apis cerana,7461,Apidae,Apocrita,Chromosome,7756638,13279023,215.27,2024-05-17,China Agricultural University,no,A,include
GCA_965119585.1,Limonius poneli,1588201,Elateridae,Polyphaga,Chromosome,7740000,133651995,1247.44,2025-02-11,WELLCOME SANGER INSTITUTE,no,A,include
GCA_964291765.1,Carabus banonii,3023605,Carabidae,Adephaga,Chromosome,7491500,14906334,207.83,2024-10-28,Genoscope CEA,no,A,include
GCA_963966045.1,Xestobium rufovillosum,879067,Ptinidae,Polyphaga,Chromosome,7346478,36916890,475.78,2024-02-13,WELLCOME SANGER INSTITUTE,no,A,include
GCA_964213945.2,Arhopalus rusticus,256647,Cerambycidae,Polyphaga,Chromosome,7305804,158070591,1246.21,2025-11-24,WELLCOME SANGER INSTITUTE,no,A,include
GCA_964291205.1,Arhopalus rusticus,256647,Cerambycidae,Polyphaga,Chromosome,7305804,158070591,1246.21,2024-10-29,WELLCOME SANGER INSTITUTE,no,A,include
GCA_020141525.2,Apis cerana,7461,Apidae,Apocrita,Chromosome,7065000,13276899,226.96,2022-06-28,Chongqing Normal University,no,A,include
GCA_020141525.1,Apis cerana,7461,Apidae,Apocrita,Chromosome,7065000,13276899,226.97,2021-09-27,Chongqing Normal University,no,A,include
GCA_963966145.1,Tenebrio molitor,7067,Tenebrionidae,Polyphaga,Chromosome,7033857,29772305,276.83,2024-02-13,WELLCOME SANGER INSTITUTE,no,A,include
GCA_022605725.3,Anthonomus grandis,2921223,Curculionidae,Polyphaga,Chromosome,6865999,36454210,697.45,2022-08-10,United States Department of Agriculture,no,A,include
GCA_022605725.2,Anthonomus grandis,2921223,Curculionidae,Polyphaga,Chromosome,6865999,36454210,697.54,2022-08-03,United States Department of Agriculture,no,A,include
GCA_965642995.1,Phyllobius virideaeris,878368,Curculionidae,Polyphaga,Chromosome,6429082,98611267,1174.98,2025-07-19,WELLCOME SANGER INSTITUTE,no,A,include
GCA_964656825.1,Bitoma crenata,346746,Zopheridae,Polyphaga,Chromosome,6067263,17562620,141.17,2025-01-06,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965648555.1,Prionocyphon serricornis,1569171,Scirtidae,Polyphaga,Chromosome,6066410,38945523,421.17,2025-07-28,WELLCOME SANGER INSTITUTE,no,A,include
GCA_982345495.1,Spelaeobates novaki,3086108,Leiodidae,Polyphaga,Chromosome,5965395,15758168,247.72,2026-03-27,Centro Nacional de Análisis Genómico,no,A,include
GCA_935421215.1,Melolontha melolontha,7061,Scarabaeidae,Polyphaga,Chromosome,5929690,180468607,1656.88,2022-05-01,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965279875.1,Amara ovata,346692,Carabidae,Adephaga,Chromosome,5534976,51439285,806.54,2025-05-11,WELLCOME SANGER INSTITUTE,no,A,include
GCA_944452925.1,Chrysolina oricalcia,1587174,Chrysomelidae,Polyphaga,Chromosome,5478000,69502699,1425.05,2022-07-06,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965654395.1,Phyllobius argentatus,346824,Curculionidae,Polyphaga,Chromosome,5342107,83882080,937.0,2025-08-03,WELLCOME SANGER INSTITUTE,no,A,include
GCA_040954645.1,Diabrotica undecimpunctata,50387,Chrysomelidae,Polyphaga,Chromosome,5175425,162785928,1742.96,2024-08-01,USDA-ARS Ag100Pest,no,A,include
GCA_976919195.1,Lasiorhynchites cavifrons,202013,Attelabidae,Polyphaga,Chromosome,4985498,251133681,1324.68,2025-11-23,WELLCOME SANGER INSTITUTE,no,A,include
GCA_963584125.1,Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,Chromosome,4745322,14121880,236.74,2023-11-07,WELLCOME SANGER INSTITUTE,no,A,include
GCA_910593695.1,Ocypus olens,662956,Staphylinidae,Polyphaga,Chromosome,4567902,57303393,1083.87,2021-07-08,WELLCOME SANGER INSTITUTE,no,A,include
GCA_950111635.1,Agelastica alni,131577,Chrysomelidae,Polyphaga,Chromosome,4545743,66306276,692.29,2023-05-16,WELLCOME SANGER INSTITUTE,no,A,include
GCA_949320105.1,Crepidodera aurea,346762,Chrysomelidae,Polyphaga,Chromosome,4358255,76910125,508.98,2023-03-31,WELLCOME SANGER INSTITUTE,no,A,include
GCA_029378335.1,Agrilus mali,1917227,Buprestidae,Polyphaga,Chromosome,4341085,28461508,291.3,2023-03-28,Chinese academy of forestry,no,A,include
GCA_964023215.1,Eledona agricola,347340,Tenebrionidae,Polyphaga,Chromosome,4218407,22633678,363.61,2024-04-09,WELLCOME SANGER INSTITUTE,no,A,include
GCA_936432065.1,Rutpela maculata,878968,Cerambycidae,Polyphaga,Chromosome,4195726,185716378,2022.61,2022-05-30,WELLCOME SANGER INSTITUTE,no,A,include
GCA_029531695.1,Apis cerana,7461,Apidae,Apocrita,Chromosome,4154103,13370683,217.68,2023-04-06,Chinese Academy of Agricultural Sciences,no,A,include
GCA_019155225.1,Tribolium confusum,7071,Tenebrionidae,Polyphaga,Chromosome,4094517,27691043,305.13,2021-07-07,UC Berkeley,no,A,include
GCA_039881205.1,Euwallacea similis,1736056,Curculionidae,Polyphaga,Chromosome,3987509,5137944,177.6,2024-05-29,CSIRO,no,A,include
GCA_011100585.1,Apis cerana,94128,Apidae,Apocrita,Chromosome,3898192,13171513,215.67,2020-03-10,Jiangxi agricultural university,no,A,include
GCA_022605725.1,Anthonomus grandis,7044,Curculionidae,Polyphaga,Chromosome,3889697,30312058,861.58,2022-03-17,United States Department of Agriculture,no,A,include
GCA_039881215.1,Euwallacea similis,1736056,Curculionidae,Polyphaga,Chromosome,3719186,4716787,179.16,2024-05-29,CSIRO,no,A,include
GCA_040115645.1,Euwallacea fornicatus,995702,Curculionidae,Polyphaga,Chromosome,3683252,3845785,219.83,2024-06-11,CSIRO,no,A,include
GCA_047716315.1,Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,Chromosome,3589613,13029527,214.53,2025-02-12,Chinese Academy of Agricultural Sciences,no,A,include
GCA_040115655.1,Euwallacea fornicatus,995702,Curculionidae,Polyphaga,Chromosome,3582182,3606299,239.62,2024-06-11,CSIRO,no,A,include
GCA_982319415.1,Phaedon tumidulus,346819,Chrysomelidae,Polyphaga,Chromosome,3027198,119062041,1537.24,2026-03-22,WELLCOME SANGER INSTITUTE,no,A,include
GCA_910589235.2,Vespa crabro,7445,Vespidae,Apocrita,Chromosome,2980993,9767562,229.31,2022-02-13,WELLCOME SANGER INSTITUTE,no,A,include
GCA_910589235.1,Vespa crabro,7445,Vespidae,Apocrita,Chromosome,2980993,9767562,229.6,2021-07-08,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965644585.1,Leistus fulvibarbis,346789,Carabidae,Adephaga,Chromosome,2906524,6481029,218.71,2025-07-28,WELLCOME SANGER INSTITUTE,no,A,include
GCA_054553145.1,Rhyzopertha dominica,92692,Bostrichidae,Polyphaga,Chromosome,2728449,56704619,490.55,2026-01-20,Academy of National Food and Strategic Rserves Administration,no,A,include
GCA_965649375.1,Nalassus laevioctostriatus,878205,Tenebrionidae,Polyphaga,Chromosome,2328048,49469900,558.9,2025-07-30,WELLCOME SANGER INSTITUTE,no,A,include
GCA_963695495.1,Hololepta plana,290657,Histeridae,Polyphaga,Chromosome,2129432,14286131,153.91,2023-12-13,WELLCOME SANGER INSTITUTE,no,A,include
GCA_982553785.1,Lucanus tetraodon,618066,Lucanidae,Polyphaga,Chromosome,1983884,23875370,337.6,2026-04-28,"Universita' degli Studi di Bari Aldo Moro, DBBA: Dipartimento di Bioscienze, Biotecnologie e Ambiente",no,A,include
GCA_918026855.4,Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,Chromosome,1950330,57205461,869.73,2022-10-19,ROTHAMSTED RESEARCH,no,A,include
GCA_918026855.3,Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,Chromosome,1950330,57205461,869.73,2022-09-26,ROTHAMSTED RESEARCH,no,A,include
GCA_918026855.2,Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,Chromosome,1950330,57205461,869.73,2022-09-11,ROTHAMSTED RESEARCH,no,A,include
GCA_982446645.1,Luperus flavipes,1553543,Chrysomelidae,Polyphaga,Chromosome,1716876,53372501,1214.6,2026-04-19,WELLCOME SANGER INSTITUTE,no,A,include
GCA_965642105.1,Catops nigricans,346753,Leiodidae,Polyphaga,Chromosome,1708696,18385198,204.7,2025-07-19,WELLCOME SANGER INSTITUTE,no,A,include
GCA_977012685.1,Larinus planus,202009,Curculionidae,Polyphaga,Chromosome,1628523,50092412,1181.72,2025-11-23,WELLCOME SANGER INSTITUTE,no,A,include
GCA_982345265.1,Oxypselaphus obscurus,877726,Carabidae,Adephaga,Chromosome,1554830,32202442,613.65,2026-03-27,WELLCOME SANGER INSTITUTE,no,A,include
GCA_963576705.1,Polydrusus tereticollis,1342093,Curculionidae,Polyphaga,Chromosome,1537882,120623329,1392.7,2023-11-04,WELLCOME SANGER INSTITUTE,no,A,include
GCA_973896695.1,Drilus flavescens,295522,Elateridae,Polyphaga,Chromosome,1069827,87807106,748.31,2025-11-22,WELLCOME SANGER INSTITUTE,no,A,include
GCA_022388455.1,Tribolium freemani,7072,Tenebrionidae,Polyphaga,Chromosome,1044995,13956990,300.43,2022-02-24,Kansas State University,no,A,include
GCA_055755885.1,Nicrophorus americanus,64900,Silphidae,Polyphaga,Chromosome,1030540,36237825,227.72,2026-03-10,Baruch College,no,A,include
GCA_011033045.2,Harmonia axyridis,115357,Coccinellidae,Polyphaga,Chromosome,889999,45919539,415.31,2023-01-09,Zhejiang University,no,B,include
GCA_965240395.1,Stylops aterrimus,2793623,Stylopidae,Stylopidia,Chromosome,838485,8351253,85.43,2025-04-14,WELLCOME SANGER INSTITUTE,no,B,include
GCA_982374535.1,Luperus longicornis,281588,Chrysomelidae,Polyphaga,Chromosome,748388,89780195,1340.44,2026-04-05,WELLCOME SANGER INSTITUTE,no,B,include
GCA_982446755.1,Amara aulica,536885,Carabidae,Adephaga,Chromosome,556235,30579777,640.25,2026-04-19,WELLCOME SANGER INSTITUTE,no,B,include
GCA_965653175.1,Chaetocnema hortensis,346761,Chrysomelidae,Polyphaga,Chromosome,447560,40169932,383.8,2025-08-01,WELLCOME SANGER INSTITUTE,no,B,include
GCA_940337035.1,Agriotes lineatus,292458,Elateridae,Polyphaga,Chromosome,201347,95282374,3159.86,2022-06-30,ROTHAMSTED RESEARCH,no,B,include
GCA_965663555.1,Anthobium unicolor,347271,Staphylinidae,Polyphaga,Chromosome,140477,22650015,352.14,2025-08-23,WELLCOME SANGER INSTITUTE,no,B,include
GCA_037075425.1,Tenebrio molitor,7067,Tenebrionidae,Polyphaga,Chromosome,102413,26202212,400.5,2024-03-13,Ag100Pest,no,B,include
GCA_000002335.3,Tribolium castaneum,7070,Tenebrionidae,Polyphaga,Chromosome,73049,4456720,165.94,2016-03-10,Kansas State University,no,B,include
GCA_000002335.1,Tribolium castaneum,7070,Tenebrionidae,Polyphaga,Chromosome,43511,19135781,210.27,2012-01-04,Kansas State University,no,B,include
GCA_000002335.2,Tribolium castaneum,7070,Tenebrionidae,Polyphaga,Chromosome,43511,975455,210.26,2012-01-11,Baylor College of Medicine,no,B,include
GCA_027562985.1,Chrysomela aeneicollis,153825,Chrysomelidae,Polyphaga,Chromosome,35526,18176930,353.92,2023-01-04,UC Berkeley,no,B,include
GCA_041430155.1,Tribolium castaneum,7070,Tenebrionidae,Polyphaga,Chromosome,22147,14471316,165.54,2024-08-23,National Centre for Biological Sciences,no,B,include
GCA_042919755.1,Popillia japonica,7064,Scarabaeidae,Polyphaga,Scaffold,31226420,60602979,545.74,2024-10-10,"University of California, Santa Cruz",no,C,include
GCA_978258505.1,Attagenus pellio,41096,Dermestidae,Polyphaga,Scaffold,29821268,30061214,316.81,2026-03-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965279815.1,Nacerdes melanura,878157,Oedemeridae,Polyphaga,Scaffold,26313290,64874646,525.71,2025-05-11,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977017545.1,Stenocarus ruficornis,1342239,Curculionidae,Polyphaga,Scaffold,26297405,53528151,600.14,2025-11-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977013155.1,Polydrusus impressifrons,1342090,Curculionidae,Polyphaga,Scaffold,21473277,51500188,540.56,2025-11-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_030347505.1,Rhynchophorus ferrugineus,354439,Curculionidae,Polyphaga,Scaffold,20155528,43002243,778.73,2023-06-27,UAE University,no,C,include
GCA_978021415.1,Liophloeus tessulatus,202024,Curculionidae,Polyphaga,Scaffold,19502891,132008410,1201.08,2026-02-25,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977066425.1,Mononychus punctumalbum,1342213,Curculionidae,Polyphaga,Scaffold,15997243,31317029,385.56,2025-11-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982345025.1,Agonum thoreyi,1553045,Carabidae,Adephaga,Scaffold,15996939,43267464,814.19,2026-03-26,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978018175.1,Aplotarsus incanus,350097,Elateridae,Polyphaga,Scaffold,15872020,68481933,632.64,2026-02-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_041228545.2,Agriotes mancus,1132040,Elateridae,Polyphaga,Scaffold,15208965,209635797,2106.57,2024-12-23,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_982290455.1,Agonum gracile,1553041,Carabidae,Adephaga,Scaffold,14908039,33440588,624.25,2026-03-18,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982259055.1,Chrysolina hyperici,111402,Chrysomelidae,Polyphaga,Scaffold,13242675,39318955,672.23,2026-03-14,WELLCOME SANGER INSTITUTE,no,C,include
GCA_044115255.2,Agriotes ferrugineipennis,2083513,Elateridae,Polyphaga,Scaffold,13177664,112824164,1267.92,2025-07-24,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_029619315.1,Dynastes maya,1767016,Scarabaeidae,Polyphaga,Scaffold,13030375,59779349,719.21,2023-04-07,Academia Sinica,no,C,include
GCA_982191845.1,Otiorhynchus rugosostriatus,703598,Curculionidae,Polyphaga,Scaffold,12945056,13515860,351.86,2026-03-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_981690495.1,Acupalpus parvulus,877764,Carabidae,Adephaga,Scaffold,12536701,29421622,589.99,2026-03-03,WELLCOME SANGER INSTITUTE,no,C,include
GCA_044115275.2,Agriotes sputator,346689,Elateridae,Polyphaga,Scaffold,11899110,90494813,1056.56,2025-08-28,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_964212015.1,Stictoleptura scutellata,879004,Cerambycidae,Polyphaga,Scaffold,10125014,170599067,1480.1,2024-08-03,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965642155.1,Aromia moschata,1265417,Cerambycidae,Polyphaga,Scaffold,9315063,60635210,691.68,2025-07-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_057128385.1,Limonius infuscatus,1415923,Elateridae,Polyphaga,Scaffold,9093642,90669364,821.62,2026-05-01,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_018691245.1,Ips nitidus,432259,Curculionidae,Polyphaga,Scaffold,9008284,10238297,345.0,2021-06-03,Chinese Academy of Forestry,no,C,include
GCA_025532065.1,Leptinotarsa decemlineata,7539,Chrysomelidae,Polyphaga,Scaffold,8926322,15302254,810.46,2022-10-03,University of Wisconsin-Madison,no,C,include
GCA_980434555.1,Galerucella sagittariae,227477,Chrysomelidae,Polyphaga,Scaffold,8526124,20107520,335.28,2026-02-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964258825.1,Anthocomus fasciatus,346704,Melyridae,Polyphaga,Scaffold,8314020,54529162,530.75,2024-08-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978045385.1,Aegialia arenaria,206943,Scarabaeidae,Polyphaga,Scaffold,8183181,43604820,418.28,2026-03-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978120685.1,Calathus fuscipes,127480,Carabidae,Adephaga,Scaffold,7940226,59033199,993.01,2026-03-03,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965119225.1,Malthodes marginatus,346798,Cantharidae,Polyphaga,Scaffold,7903628,44168853,332.93,2025-01-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978407185.1,Cantharis pallida,877887,Cantharidae,Polyphaga,Scaffold,7845000,52025584,387.78,2026-03-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964213945.1,Arhopalus rusticus,256647,Cerambycidae,Polyphaga,Scaffold,7305804,158070591,1246.21,2024-08-09,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978041825.1,Anaglyptus mysticus,877856,Cerambycidae,Polyphaga,Scaffold,7263778,101954285,933.65,2026-02-25,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964332075.1,Grammoptera ruficornis,351486,Cerambycidae,Polyphaga,Scaffold,7197351,37222247,431.82,2024-11-08,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965643635.1,Megatoma undata,878194,Dermestidae,Polyphaga,Scaffold,6930725,43756318,368.9,2025-07-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964211985.1,Staphylinus erythropterus,1553746,Staphylinidae,Polyphaga,Scaffold,6719939,77489434,1331.79,2024-08-03,WELLCOME SANGER INSTITUTE,no,C,include
GCA_907166875.3,Tenebrio molitor,7067,Tenebrionidae,Polyphaga,Scaffold,6326592,21885684,287.84,2022-03-14,Genoscope CEA,no,C,include
GCA_907166875.2,Tenebrio molitor,7067,Tenebrionidae,Polyphaga,Scaffold,6326592,21885684,287.93,2022-03-14,Genoscope CEA,no,C,include
GCA_907166875.1,Tenebrio molitor,7067,Tenebrionidae,Polyphaga,Scaffold,6326592,22440466,287.93,2022-03-14,Genoscope CEA,no,C,include
GCA_965642355.1,Harmonia quadripunctata,346781,Coccinellidae,Polyphaga,Scaffold,6272178,88541891,655.05,2025-07-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965648505.1,Hallomenus binotatus,295970,Tetratomidae,Polyphaga,Scaffold,6261000,16540926,200.1,2025-07-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_973897575.1,Amara aenea,585988,Carabidae,Adephaga,Scaffold,6197426,44133562,779.72,2025-11-22,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965178285.1,Coccidula rufa,115345,Coccinellidae,Polyphaga,Scaffold,6142486,120543591,1073.54,2025-03-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965641335.1,Cryptorhynchus lapathi,201897,Curculionidae,Polyphaga,Scaffold,6019000,26885655,440.97,2025-07-09,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964338625.1,Opilo mollis,1445684,Cleridae,Polyphaga,Scaffold,5984000,171040891,1591.6,2024-11-11,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965276425.1,Notoxus monoceros,1553591,Anthicidae,Polyphaga,Scaffold,5787856,135108468,1120.36,2025-05-04,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965644505.1,Coccinella magnifica,185877,Coccinellidae,Polyphaga,Scaffold,5644604,36646883,558.91,2025-07-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977061615.1,Platyrhinus resinosus,1586622,Anthribidae,Polyphaga,Scaffold,5543836,77902460,758.34,2025-11-17,WELLCOME SANGER INSTITUTE,no,C,include
GCA_973358345.1,Serica brunnea,465155,Scarabaeidae,Polyphaga,Scaffold,5414559,144497857,1482.9,2025-11-22,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964234845.1,Ampedus sanguinolentus,941989,Elateridae,Polyphaga,Scaffold,5398259,143644008,1572.87,2024-08-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_029955535.1,Chrysomela aeneicollis,153825,Chrysomelidae,Polyphaga,Scaffold,5166779,14825180,646.74,2023-05-08,UCLA,no,C,include
GCA_965260825.1,Leiosoma deflexum,1342033,Curculionidae,Polyphaga,Scaffold,5009517,37547102,629.82,2025-04-27,WELLCOME SANGER INSTITUTE,no,C,include
GCA_057128345.1,Limonius infuscatus,1415923,Elateridae,Polyphaga,Scaffold,5007243,88490866,808.4,2026-05-01,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_964106955.1,Platystomos albinus,197009,Anthribidae,Polyphaga,Scaffold,4813988,68519913,554.55,2024-06-03,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965643565.1,Bruchidius villosus,256915,Chrysomelidae,Polyphaga,Scaffold,4763205,101933805,962.34,2025-07-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_966112745.1,Calathus melanocephalus,127479,Carabidae,Adephaga,Scaffold,4514173,49663604,976.61,2025-08-14,WELLCOME SANGER INSTITUTE,no,C,include
